Survival,Class,Sex,,Pct
Survived,Class 1,female,,1
Survived,Class 1,female,,1
Survived,Class 1,female,,1
Survived,Class 1,male,,1
Survived,Class 1,female,,1
Survived,Class 1,female,,1
Survived,Class 1,male,,1
Survived,Class 1,female,,1
Survived,Class 1,female,,1
Survived,Class 1,male,,1
Survived,Class 1,female,,1
Survived,Class 1,female,,1
Survived,Class 1,female,,1
Survived,Class 1,male,,1
Survived,Class 1,female,,1
Survived,Class 1,female,,1
Survived,Class 1,male,,1
Survived,Class 1,female,,1
Survived,Class 1,female,,1
Survived,Class 1,male,,1
Survived,Class 1,female,,1
Survived,Class 1,male,,1
Survived,Class 1,female,,1
Survived,Class 1,female,,1
Survived,Class 1,female,,1
Survived,Class 1,female,,1
Survived,Class 1,female,,1
Survived,Class 1,female,,1
Survived,Class 1,female,,1
Survived,Class 1,female,,1
Survived,Class 1,male,,1
Survived,Class 1,female,,1
Survived,Class 1,male,,1
Survived,Class 1,female,,1
Survived,Class 1,female,,1
Survived,Class 1,female,,1
Survived,Class 1,female,,1
Survived,Class 1,female,,1
Survived,Class 1,female,,1
Survived,Class 1,female,,1
Survived,Class 1,female,,1
Survived,Class 1,female,,1
Survived,Class 1,female,,1
Survived,Class 1,female,,1
Survived,Class 1,female,,1
Survived,Class 1,female,,1
Survived,Class 1,female,,1
Survived,Class 1,female,,1
Survived,Class 1,male,,1
Survived,Class 1,female,,1
Survived,Class 1,female,,1
Survived,Class 1,female,,1
Survived,Class 1,male,,1
Survived,Class 1,female,,1
Survived,Class 1,female,,1
Survived,Class 1,male,,1
Survived,Class 1,female,,1
Survived,Class 1,male,,1
Survived,Class 1,male,,1
Survived,Class 1,male,,1
Survived,Class 1,male,,1
Survived,Class 1,female,,1
Survived,Class 1,male,,1
Survived,Class 1,male,,1
Survived,Class 1,female,,1
Survived,Class 1,female,,1
Survived,Class 1,female,,1
Survived,Class 1,male,,1
Survived,Class 1,male,,1
Survived,Class 1,female,,1
Survived,Class 1,female,,1
Survived,Class 1,female,,1
Survived,Class 1,female,,1
Survived,Class 1,female,,1
Survived,Class 1,female,,1
Survived,Class 1,male,,1
Survived,Class 1,female,,1
Survived,Class 1,female,,1
Survived,Class 1,female,,1
Survived,Class 1,male,,1
Survived,Class 1,female,,1
Survived,Class 1,female,,1
Survived,Class 1,female,,1
Survived,Class 1,male,,1
Survived,Class 1,female,,1
Survived,Class 1,male,,1
Survived,Class 1,male,,1
Survived,Class 1,male,,1
Survived,Class 1,female,,1
Survived,Class 1,male,,1
Survived,Class 1,female,,1
Survived,Class 1,male,,1
Survived,Class 1,male,,1
Survived,Class 1,female,,1
Survived,Class 1,male,,1
Survived,Class 1,male,,1
Survived,Class 1,male,,1
Survived,Class 1,female,,1
Survived,Class 1,male,,1
Survived,Class 1,male,,1
Survived,Class 1,female,,1
Survived,Class 1,male,,1
Survived,Class 1,female,,1
Survived,Class 1,male,,1
Survived,Class 1,male,,1
Survived,Class 1,female,,1
Survived,Class 1,female,,1
Survived,Class 1,male,,1
Survived,Class 1,female,,1
Survived,Class 1,male,,1
Survived,Class 1,female,,1
Survived,Class 1,male,,1
Survived,Class 1,male,,1
Survived,Class 1,female,,1
Survived,Class 1,female,,1
Survived,Class 1,female,,1
Survived,Class 1,female,,1
Survived,Class 1,female,,1
Survived,Class 1,female,,1
Survived,Class 1,female,,1
Survived,Class 1,male,,1
Survived,Class 1,female,,1
Survived,Class 1,female,,1
Survived,Class 1,female,,1
Survived,Class 1,female,,1
Survived,Class 1,male,,1
Survived,Class 1,female,,1
Survived,Class 1,female,,1
Survived,Class 1,female,,1
Survived,Class 1,female,,1
Survived,Class 1,male,,1
Survived,Class 1,female,,1
Survived,Class 1,female,,1
Survived,Class 1,female,,1
Survived,Class 1,female,,1
Survived,Class 1,male,,1
Died,Class 1,male,,1
Died,Class 1,male,,1
Died,Class 1,male,,1
Died,Class 1,male,,1
Died,Class 1,male,,1
Died,Class 1,male,,1
Died,Class 1,male,,1
Died,Class 1,male,,1
Died,Class 1,male,,1
Died,Class 1,male,,1
Died,Class 1,male,,1
Died,Class 1,male,,1
Died,Class 1,male,,1
Died,Class 1,male,,1
Died,Class 1,male,,1
Died,Class 1,male,,1
Died,Class 1,male,,1
Died,Class 1,male,,1
Died,Class 1,male,,1
Died,Class 1,male,,1
Died,Class 1,male,,1
Died,Class 1,female,,1
Died,Class 1,male,,1
Died,Class 1,male,,1
Died,Class 1,male,,1
Died,Class 1,male,,1
Died,Class 1,male,,1
Died,Class 1,male,,1
Died,Class 1,male,,1
Died,Class 1,male,,1
Died,Class 1,male,,1
Died,Class 1,female,,1
Died,Class 1,male,,1
Died,Class 1,male,,1
Died,Class 1,male,,1
Died,Class 1,male,,1
Died,Class 1,male,,1
Died,Class 1,male,,1
Died,Class 1,male,,1
Died,Class 1,male,,1
Died,Class 1,male,,1
Died,Class 1,male,,1
Died,Class 1,male,,1
Died,Class 1,male,,1
Died,Class 1,male,,1
Died,Class 1,male,,1
Died,Class 1,male,,1
Died,Class 1,male,,1
Died,Class 1,male,,1
Died,Class 1,female,,1
Died,Class 1,male,,1
Died,Class 1,male,,1
Died,Class 1,male,,1
Died,Class 1,male,,1
Died,Class 1,male,,1
Died,Class 1,male,,1
Died,Class 1,male,,1
Died,Class 1,male,,1
Died,Class 1,male,,1
Died,Class 1,male,,1
Died,Class 1,male,,1
Died,Class 1,male,,1
Died,Class 1,male,,1
Died,Class 1,male,,1
Died,Class 1,male,,1
Died,Class 1,male,,1
Died,Class 1,male,,1
Died,Class 1,male,,1
Died,Class 1,male,,1
Died,Class 1,male,,1
Died,Class 1,male,,1
Died,Class 1,male,,1
Died,Class 1,male,,1
Died,Class 1,male,,1
Died,Class 1,male,,1
Died,Class 1,male,,1
Died,Class 1,male,,1
Died,Class 1,male,,1
Died,Class 1,male,,1
Died,Class 1,male,,1
Survived,Class 2,female,,1
Survived,Class 2,female,,1
Survived,Class 2,male,,1
Survived,Class 2,male,,1
Survived,Class 2,female,,1
Survived,Class 2,female,,1
Survived,Class 2,female,,1
Survived,Class 2,female,,1
Survived,Class 2,female,,1
Survived,Class 2,male,,1
Survived,Class 2,female,,1
Survived,Class 2,female,,1
Survived,Class 2,female,,1
Survived,Class 2,female,,1
Survived,Class 2,female,,1
Survived,Class 2,male,,1
Survived,Class 2,female,,1
Survived,Class 2,male,,1
Survived,Class 2,female,,1
Survived,Class 2,male,,1
Survived,Class 2,female,,1
Survived,Class 2,female,,1
Survived,Class 2,female,,1
Survived,Class 2,female,,1
Survived,Class 2,male,,1
Survived,Class 2,female,,1
Survived,Class 2,female,,1
Survived,Class 2,female,,1
Survived,Class 2,female,,1
Survived,Class 2,female,,1
Survived,Class 2,male,,1
Survived,Class 2,female,,1
Survived,Class 2,female,,1
Survived,Class 2,female,,1
Survived,Class 2,female,,1
Survived,Class 2,female,,1
Survived,Class 2,male,,1
Survived,Class 2,female,,1
Survived,Class 2,female,,1
Survived,Class 2,female,,1
Survived,Class 2,female,,1
Survived,Class 2,female,,1
Survived,Class 2,female,,1
Survived,Class 2,female,,1
Survived,Class 2,female,,1
Survived,Class 2,female,,1
Survived,Class 2,female,,1
Survived,Class 2,female,,1
Survived,Class 2,female,,1
Survived,Class 2,female,,1
Survived,Class 2,female,,1
Survived,Class 2,female,,1
Survived,Class 2,female,,1
Survived,Class 2,female,,1
Survived,Class 2,female,,1
Survived,Class 2,male,,1
Survived,Class 2,female,,1
Survived,Class 2,male,,1
Survived,Class 2,male,,1
Survived,Class 2,male,,1
Survived,Class 2,female,,1
Survived,Class 2,female,,1
Survived,Class 2,female,,1
Survived,Class 2,female,,1
Survived,Class 2,female,,1
Survived,Class 2,female,,1
Survived,Class 2,female,,1
Survived,Class 2,female,,1
Survived,Class 2,female,,1
Survived,Class 2,female,,1
Survived,Class 2,male,,1
Survived,Class 2,female,,1
Survived,Class 2,female,,1
Survived,Class 2,female,,1
Survived,Class 2,female,,1
Survived,Class 2,female,,1
Survived,Class 2,female,,1
Survived,Class 2,female,,1
Survived,Class 2,male,,1
Survived,Class 2,female,,1
Survived,Class 2,female,,1
Survived,Class 2,male,,1
Survived,Class 2,male,,1
Survived,Class 2,female,,1
Survived,Class 2,female,,1
Survived,Class 2,female,,1
Survived,Class 2,female,,1
Died,Class 2,male,,1
Died,Class 2,male,,1
Died,Class 2,female,,1
Died,Class 2,male,,1
Died,Class 2,male,,1
Died,Class 2,male,,1
Died,Class 2,male,,1
Died,Class 2,male,,1
Died,Class 2,male,,1
Died,Class 2,male,,1
Died,Class 2,male,,1
Died,Class 2,male,,1
Died,Class 2,male,,1
Died,Class 2,male,,1
Died,Class 2,male,,1
Died,Class 2,male,,1
Died,Class 2,male,,1
Died,Class 2,male,,1
Died,Class 2,male,,1
Died,Class 2,female,,1
Died,Class 2,male,,1
Died,Class 2,male,,1
Died,Class 2,male,,1
Died,Class 2,male,,1
Died,Class 2,male,,1
Died,Class 2,male,,1
Died,Class 2,male,,1
Died,Class 2,male,,1
Died,Class 2,male,,1
Died,Class 2,male,,1
Died,Class 2,male,,1
Died,Class 2,male,,1
Died,Class 2,male,,1
Died,Class 2,male,,1
Died,Class 2,male,,1
Died,Class 2,male,,1
Died,Class 2,female,,1
Died,Class 2,male,,1
Died,Class 2,male,,1
Died,Class 2,male,,1
Died,Class 2,male,,1
Died,Class 2,male,,1
Died,Class 2,female,,1
Died,Class 2,male,,1
Died,Class 2,male,,1
Died,Class 2,male,,1
Died,Class 2,male,,1
Died,Class 2,male,,1
Died,Class 2,male,,1
Died,Class 2,male,,1
Died,Class 2,male,,1
Died,Class 2,male,,1
Died,Class 2,male,,1
Died,Class 2,male,,1
Died,Class 2,male,,1
Died,Class 2,male,,1
Died,Class 2,male,,1
Died,Class 2,male,,1
Died,Class 2,male,,1
Died,Class 2,male,,1
Died,Class 2,male,,1
Died,Class 2,male,,1
Died,Class 2,male,,1
Died,Class 2,male,,1
Died,Class 2,male,,1
Died,Class 2,male,,1
Died,Class 2,male,,1
Died,Class 2,male,,1
Died,Class 2,male,,1
Died,Class 2,male,,1
Died,Class 2,male,,1
Died,Class 2,male,,1
Died,Class 2,male,,1
Died,Class 2,male,,1
Died,Class 2,male,,1
Died,Class 2,male,,1
Died,Class 2,male,,1
Died,Class 2,male,,1
Died,Class 2,male,,1
Died,Class 2,male,,1
Died,Class 2,male,,1
Died,Class 2,male,,1
Died,Class 2,male,,1
Died,Class 2,female,,1
Died,Class 2,male,,1
Died,Class 2,male,,1
Died,Class 2,male,,1
Died,Class 2,male,,1
Died,Class 2,male,,1
Died,Class 2,male,,1
Died,Class 2,male,,1
Died,Class 2,male,,1
Died,Class 2,female,,1
Died,Class 2,male,,1
Died,Class 2,male,,1
Died,Class 2,male,,1
Died,Class 2,male,,1
Survived,Class 3,female,,1
Survived,Class 3,female,,1
Survived,Class 3,female,,1
Survived,Class 3,female,,1
Survived,Class 3,female,,1
Survived,Class 3,female,,1
Survived,Class 3,female,,1
Survived,Class 3,female,,1
Survived,Class 3,male,,1
Survived,Class 3,female,,1
Survived,Class 3,female,,1
Survived,Class 3,female,,1
Survived,Class 3,male,,1
Survived,Class 3,female,,1
Survived,Class 3,male,,1
Survived,Class 3,female,,1
Survived,Class 3,male,,1
Survived,Class 3,female,,1
Survived,Class 3,female,,1
Survived,Class 3,female,,1
Survived,Class 3,male,,1
Survived,Class 3,female,,1
Survived,Class 3,male,,1
Survived,Class 3,male,,1
Survived,Class 3,female,,1
Survived,Class 3,female,,1
Survived,Class 3,female,,1
Survived,Class 3,male,,1
Survived,Class 3,female,,1
Survived,Class 3,male,,1
Survived,Class 3,female,,1
Survived,Class 3,female,,1
Survived,Class 3,female,,1
Survived,Class 3,female,,1
Survived,Class 3,female,,1
Survived,Class 3,male,,1
Survived,Class 3,male,,1
Survived,Class 3,female,,1
Survived,Class 3,female,,1
Survived,Class 3,male,,1
Survived,Class 3,female,,1
Survived,Class 3,female,,1
Survived,Class 3,female,,1
Survived,Class 3,male,,1
Survived,Class 3,male,,1
Survived,Class 3,male,,1
Survived,Class 3,female,,1
Survived,Class 3,female,,1
Survived,Class 3,male,,1
Survived,Class 3,male,,1
Survived,Class 3,female,,1
Survived,Class 3,female,,1
Survived,Class 3,male,,1
Survived,Class 3,female,,1
Survived,Class 3,female,,1
Survived,Class 3,female,,1
Survived,Class 3,male,,1
Survived,Class 3,female,,1
Survived,Class 3,male,,1
Survived,Class 3,female,,1
Survived,Class 3,female,,1
Survived,Class 3,female,,1
Survived,Class 3,female,,1
Survived,Class 3,female,,1
Survived,Class 3,female,,1
Survived,Class 3,male,,1
Survived,Class 3,female,,1
Survived,Class 3,male,,1
Survived,Class 3,male,,1
Survived,Class 3,male,,1
Survived,Class 3,female,,1
Survived,Class 3,male,,1
Survived,Class 3,female,,1
Survived,Class 3,male,,1
Survived,Class 3,female,,1
Survived,Class 3,female,,1
Survived,Class 3,female,,1
Survived,Class 3,male,,1
Survived,Class 3,male,,1
Survived,Class 3,male,,1
Survived,Class 3,female,,1
Survived,Class 3,male,,1
Survived,Class 3,female,,1
Survived,Class 3,female,,1
Survived,Class 3,male,,1
Survived,Class 3,female,,1
Survived,Class 3,male,,1
Survived,Class 3,female,,1
Survived,Class 3,male,,1
Survived,Class 3,male,,1
Survived,Class 3,female,,1
Survived,Class 3,female,,1
Survived,Class 3,female,,1
Survived,Class 3,male,,1
Survived,Class 3,female,,1
Survived,Class 3,female,,1
Survived,Class 3,male,,1
Survived,Class 3,female,,1
Survived,Class 3,male,,1
Survived,Class 3,female,,1
Survived,Class 3,male,,1
Survived,Class 3,male,,1
Survived,Class 3,male,,1
Survived,Class 3,female,,1
Survived,Class 3,female,,1
Survived,Class 3,female,,1
Survived,Class 3,male,,1
Survived,Class 3,female,,1
Survived,Class 3,male,,1
Survived,Class 3,male,,1
Survived,Class 3,male,,1
Survived,Class 3,female,,1
Survived,Class 3,male,,1
Survived,Class 3,female,,1
Survived,Class 3,male,,1
Survived,Class 3,female,,1
Survived,Class 3,female,,1
Survived,Class 3,male,,1
Survived,Class 3,female,,1
Died,Class 3,male,,1
Died,Class 3,male,,1
Died,Class 3,male,,1
Died,Class 3,male,,1
Died,Class 3,male,,1
Died,Class 3,male,,1
Died,Class 3,female,,1
Died,Class 3,male,,1
Died,Class 3,female,,1
Died,Class 3,female,,1
Died,Class 3,male,,1
Died,Class 3,male,,1
Died,Class 3,male,,1
Died,Class 3,female,,1
Died,Class 3,female,,1
Died,Class 3,male,,1
Died,Class 3,male,,1
Died,Class 3,male,,1
Died,Class 3,male,,1
Died,Class 3,female,,1
Died,Class 3,male,,1
Died,Class 3,male,,1
Died,Class 3,male,,1
Died,Class 3,male,,1
Died,Class 3,male,,1
Died,Class 3,male,,1
Died,Class 3,male,,1
Died,Class 3,male,,1
Died,Class 3,female,,1
Died,Class 3,male,,1
Died,Class 3,male,,1
Died,Class 3,male,,1
Died,Class 3,male,,1
Died,Class 3,male,,1
Died,Class 3,male,,1
Died,Class 3,male,,1
Died,Class 3,male,,1
Died,Class 3,male,,1
Died,Class 3,male,,1
Died,Class 3,male,,1
Died,Class 3,male,,1
Died,Class 3,male,,1
Died,Class 3,female,,1
Died,Class 3,male,,1
Died,Class 3,male,,1
Died,Class 3,male,,1
Died,Class 3,male,,1
Died,Class 3,male,,1
Died,Class 3,female,,1
Died,Class 3,male,,1
Died,Class 3,female,,1
Died,Class 3,female,,1
Died,Class 3,male,,1
Died,Class 3,male,,1
Died,Class 3,female,,1
Died,Class 3,male,,1
Died,Class 3,male,,1
Died,Class 3,male,,1
Died,Class 3,male,,1
Died,Class 3,male,,1
Died,Class 3,female,,1
Died,Class 3,male,,1
Died,Class 3,female,,1
Died,Class 3,male,,1
Died,Class 3,female,,1
Died,Class 3,male,,1
Died,Class 3,male,,1
Died,Class 3,male,,1
Died,Class 3,male,,1
Died,Class 3,male,,1
Died,Class 3,male,,1
Died,Class 3,male,,1
Died,Class 3,male,,1
Died,Class 3,male,,1
Died,Class 3,male,,1
Died,Class 3,female,,1
Died,Class 3,male,,1
Died,Class 3,male,,1
Died,Class 3,male,,1
Died,Class 3,male,,1
Died,Class 3,male,,1
Died,Class 3,male,,1
Died,Class 3,female,,1
Died,Class 3,male,,1
Died,Class 3,male,,1
Died,Class 3,male,,1
Died,Class 3,male,,1
Died,Class 3,male,,1
Died,Class 3,male,,1
Died,Class 3,male,,1
Died,Class 3,male,,1
Died,Class 3,male,,1
Died,Class 3,female,,1
Died,Class 3,male,,1
Died,Class 3,male,,1
Died,Class 3,male,,1
Died,Class 3,male,,1
Died,Class 3,male,,1
Died,Class 3,male,,1
Died,Class 3,male,,1
Died,Class 3,male,,1
Died,Class 3,female,,1
Died,Class 3,male,,1
Died,Class 3,female,,1
Died,Class 3,female,,1
Died,Class 3,male,,1
Died,Class 3,male,,1
Died,Class 3,female,,1
Died,Class 3,male,,1
Died,Class 3,female,,1
Died,Class 3,male,,1
Died,Class 3,female,,1
Died,Class 3,male,,1
Died,Class 3,female,,1
Died,Class 3,male,,1
Died,Class 3,female,,1
Died,Class 3,male,,1
Died,Class 3,male,,1
Died,Class 3,male,,1
Died,Class 3,male,,1
Died,Class 3,male,,1
Died,Class 3,male,,1
Died,Class 3,female,,1
Died,Class 3,male,,1
Died,Class 3,male,,1
Died,Class 3,male,,1
Died,Class 3,male,,1
Died,Class 3,male,,1
Died,Class 3,male,,1
Died,Class 3,male,,1
Died,Class 3,male,,1
Died,Class 3,male,,1
Died,Class 3,male,,1
Died,Class 3,male,,1
Died,Class 3,male,,1
Died,Class 3,male,,1
Died,Class 3,male,,1
Died,Class 3,male,,1
Died,Class 3,male,,1
Died,Class 3,male,,1
Died,Class 3,male,,1
Died,Class 3,female,,1
Died,Class 3,male,,1
Died,Class 3,male,,1
Died,Class 3,male,,1
Died,Class 3,male,,1
Died,Class 3,male,,1
Died,Class 3,female,,1
Died,Class 3,male,,1
Died,Class 3,male,,1
Died,Class 3,male,,1
Died,Class 3,male,,1
Died,Class 3,male,,1
Died,Class 3,male,,1
Died,Class 3,male,,1
Died,Class 3,male,,1
Died,Class 3,female,,1
Died,Class 3,male,,1
Died,Class 3,female,,1
Died,Class 3,male,,1
Died,Class 3,female,,1
Died,Class 3,male,,1
Died,Class 3,male,,1
Died,Class 3,female,,1
Died,Class 3,male,,1
Died,Class 3,male,,1
Died,Class 3,female,,1
Died,Class 3,female,,1
Died,Class 3,male,,1
Died,Class 3,male,,1
Died,Class 3,male,,1
Died,Class 3,female,,1
Died,Class 3,male,,1
Died,Class 3,male,,1
Died,Class 3,male,,1
Died,Class 3,male,,1
Died,Class 3,female,,1
Died,Class 3,male,,1
Died,Class 3,male,,1
Died,Class 3,male,,1
Died,Class 3,male,,1
Died,Class 3,male,,1
Died,Class 3,male,,1
Died,Class 3,male,,1
Died,Class 3,male,,1
Died,Class 3,male,,1
Died,Class 3,male,,1
Died,Class 3,male,,1
Died,Class 3,female,,1
Died,Class 3,male,,1
Died,Class 3,male,,1
Died,Class 3,male,,1
Died,Class 3,male,,1
Died,Class 3,female,,1
Died,Class 3,male,,1
Died,Class 3,male,,1
Died,Class 3,male,,1
Died,Class 3,male,,1
Died,Class 3,male,,1
Died,Class 3,male,,1
Died,Class 3,male,,1
Died,Class 3,male,,1
Died,Class 3,female,,1
Died,Class 3,female,,1
Died,Class 3,female,,1
Died,Class 3,male,,1
Died,Class 3,male,,1
Died,Class 3,male,,1
Died,Class 3,male,,1
Died,Class 3,male,,1
Died,Class 3,male,,1
Died,Class 3,male,,1
Died,Class 3,male,,1
Died,Class 3,male,,1
Died,Class 3,male,,1
Died,Class 3,male,,1
Died,Class 3,male,,1
Died,Class 3,female,,1
Died,Class 3,male,,1
Died,Class 3,female,,1
Died,Class 3,female,,1
Died,Class 3,male,,1
Died,Class 3,male,,1
Died,Class 3,male,,1
Died,Class 3,male,,1
Died,Class 3,male,,1
Died,Class 3,female,,1
Died,Class 3,male,,1
Died,Class 3,male,,1
Died,Class 3,female,,1
Died,Class 3,male,,1
Died,Class 3,male,,1
Died,Class 3,male,,1
Died,Class 3,female,,1
Died,Class 3,male,,1
Died,Class 3,male,,1
Died,Class 3,male,,1
Died,Class 3,male,,1
Died,Class 3,male,,1
Died,Class 3,female,,1
Died,Class 3,male,,1
Died,Class 3,male,,1
Died,Class 3,male,,1
Died,Class 3,male,,1
Died,Class 3,male,,1
Died,Class 3,male,,1
Died,Class 3,male,,1
Died,Class 3,female,,1
Died,Class 3,male,,1
Died,Class 3,male,,1
Died,Class 3,male,,1
Died,Class 3,male,,1
Died,Class 3,female,,1
Died,Class 3,male,,1
Died,Class 3,male,,1
Died,Class 3,male,,1
Died,Class 3,male,,1
Died,Class 3,male,,1
Died,Class 3,male,,1
Died,Class 3,female,,1
Died,Class 3,male,,1
Died,Class 3,female,,1
Died,Class 3,male,,1
Died,Class 3,male,,1
Died,Class 3,female,,1
Died,Class 3,male,,1
Died,Class 3,male,,1
Died,Class 3,male,,1
Died,Class 3,male,,1
Died,Class 3,female,,1
Died,Class 3,male,,1
Died,Class 3,female,,1
Died,Class 3,male,,1
Died,Class 3,male,,1
Died,Class 3,male,,1
Died,Class 3,male,,1
Died,Class 3,male,,1
Died,Class 3,male,,1
Died,Class 3,female,,1
Died,Class 3,female,,1
Died,Class 3,male,,1
Died,Class 3,male,,1
Died,Class 3,male,,1
Died,Class 3,male,,1
Died,Class 3,male,,1
Died,Class 3,male,,1
Died,Class 3,male,,1
Died,Class 3,male,,1
Died,Class 3,female,,1
Died,Class 3,male,,1
Died,Class 3,male,,1
Died,Class 3,male,,1
Died,Class 3,male,,1
Died,Class 3,male,,1
Died,Class 3,male,,1
Died,Class 3,male,,1
Died,Class 3,male,,1
Died,Class 3,female,,1
Died,Class 3,male,,1
Died,Class 3,male,,1
Died,Class 3,female,,1
Died,Class 3,male,,1
Died,Class 3,male,,1
Died,Class 3,male,,1
Died,Class 3,male,,1
Died,Class 3,male,,1
Died,Class 3,male,,1
Died,Class 3,male,,1
Died,Class 3,male,,1
Died,Class 3,male,,1
Died,Class 3,male,,1
Died,Class 3,male,,1
Died,Class 3,male,,1
Died,Class 3,female,,1
Died,Class 3,male,,1
Died,Class 3,male,,1
Died,Class 3,male,,1
Died,Class 3,male,,1
Died,Class 3,male,,1
Died,Class 3,male,,1
Died,Class 3,male,,1
Died,Class 3,male,,1
Died,Class 3,male,,1
Died,Class 3,male,,1
Died,Class 3,male,,1
Died,Class 3,male,,1
Died,Class 3,male,,1
Died,Class 3,female,,1
Died,Class 3,male,,1
Died,Class 3,male,,1
Died,Class 3,female,,1
Died,Class 3,male,,1
Died,Class 3,female,,1
Died,Class 3,male,,1
Died,Class 3,male,,1
Died,Class 3,female,,1
Died,Class 3,male,,1
Died,Class 3,female,,1
Died,Class 3,male,,1
Died,Class 3,male,,1
Died,Class 3,male,,1
Died,Class 3,male,,1
Died,Class 3,male,,1
Died,Class 3,male,,1
Died,Class 3,male,,1
Died,Class 3,male,,1
Died,Class 3,male,,1
Died,Class 3,male,,1
Died,Class 3,male,,1
Died,Class 3,male,,1
Died,Class 3,male,,1
Died,Class 3,male,,1
Died,Class 3,male,,1
Died,Class 3,male,,1
Died,Class 3,male,,1
Died,Class 3,male,,1
Died,Class 3,female,,1
Died,Class 3,male,,1
Died,Class 3,male,,1
Died,Class 3,female,,1
Died,Class 3,male,,1
Died,Class 3,male,,1
Died,Class 3,male,,1
Died,Class 3,male,,1
Died,Class 3,male,,1
Died,Class 3,male,,1
Died,Class 3,male,,1
Died,Class 3,female,,1
Died,Class 3,male,,1
Died,Class 3,female,,1
Died,Class 3,female,,1
Died,Class 3,male,,1
